endpoint,operation,data_size,time
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,18
client,encrypt,304,14
server,decrypt,304,17
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,34
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,31
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,34
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,19
client,decrypt,304,17
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,34
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,27
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,26
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,13
client,decrypt,304,33
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,32
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,32
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,33
client,encrypt,304,13
server,decrypt,304,32
server,encrypt,304,14
client,decrypt,304,16
client,encrypt,304,18
server,decrypt,304,22
server,encrypt,304,19
client,decrypt,304,17
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,17
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,34
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,33
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,34
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,32
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,24
server,encrypt,304,13
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,18
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,17
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,24
server,encrypt,304,14
client,decrypt,304,21
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,17
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,17
server,encrypt,304,17
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,17
server,encrypt,304,17
client,decrypt,304,17
client,encrypt,304,17
server,decrypt,304,15
server,encrypt,304,14
client,decrypt,304,21
client,encrypt,304,14
server,decrypt,304,17
server,encrypt,304,14
client,decrypt,304,16
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,15
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,16
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,18
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,18
client,encrypt,304,13
server,decrypt,304,16
server,encrypt,304,19
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,24
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,17
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,36
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,36
client,encrypt,304,13
server,decrypt,304,33
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,17
server,encrypt,304,14
client,decrypt,304,19
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,25
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,15
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,26
client,encrypt,304,19
server,decrypt,304,19
server,encrypt,304,18
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,17
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,24
server,encrypt,304,17
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,25
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,17
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,32
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,25
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,23
