endpoint,operation,data_size,time
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,12
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,19
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,28
server,encrypt,304,14
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,15
server,decrypt,304,24
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,32
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,18
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,18
client,encrypt,304,20
server,decrypt,304,29
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,28
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,19
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,24
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,21
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,19
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,12
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,22
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,21
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,18
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,12
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,21
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,20
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,28
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,24
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,17
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,14
client,decrypt,304,12
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,21
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,19
server,decrypt,304,20
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,12
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,12
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,12
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,32
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,18
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,12
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,32
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,12
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,14
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,18
server,encrypt,304,13
client,decrypt,304,21
client,encrypt,304,14
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,12
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,15
client,encrypt,304,13
server,decrypt,304,18
server,encrypt,304,13
client,decrypt,304,18
client,encrypt,304,16
server,decrypt,304,27
server,encrypt,304,17
client,decrypt,304,17
client,encrypt,304,20
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,16
client,encrypt,304,15
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,20
client,encrypt,304,13
server,decrypt,304,20
server,encrypt,304,12
client,decrypt,304,17
client,encrypt,304,17
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,20
server,decrypt,304,20
server,encrypt,304,18
client,decrypt,304,19
client,encrypt,304,22
server,decrypt,304,21
server,encrypt,304,13
client,decrypt,304,24
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,12
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,13
client,decrypt,304,23
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,12
server,encrypt,304,12
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,23
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,14
server,encrypt,304,20
client,decrypt,304,19
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,14
client,decrypt,304,13
client,encrypt,304,14
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,14
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,13
client,decrypt,304,13
client,encrypt,304,13
server,decrypt,304,22
server,encrypt,304,13
client,decrypt,304,22
client,encrypt,304,13
server,decrypt,304,13
server,encrypt,304,12
client,decrypt,304,22
